NAME                                       DISPLAY NAME  DEFAULT CHANNEL
3scale-community-operator                                threescale-2.13
ncn-operator                                             betav1
ndb-operator                                             alpha
ndmspc-operator                                          alpha
neuvector-community-operator                             beta
nexus-operator                                           alpha
nexus-operator-m88i                                      alpha
nfs-provisioner-operator                                 alpha
nlp-server                                               alpha
node-discovery-operator                                  alpha
node-healthcheck-operator                                stable
node-maintenance-operator                                stable
nsm-operator                                             alpha
oadp-operator                                            stable
observability-operator                                   stable
oci-ccm-operator                                         alpha
ocp-kea-dhcp                                             alpha
odoo-operator                                            alpha
opendatahub-operator                                     fast-3
openebs                                                  alpha
openshift-node-upgrade-mutex-operator                    alpha
openshift-qiskit-operator                                alpha
opentelemetry-operator                                   alpha
patch-operator                                           alpha
patterns-operator                                        fast
pcc-operator                                             stable
pelorus-operator                                         alpha
percona-postgresql-operator                              stable
percona-server-mongodb-operator                          stable
percona-server-mysql-operator                            stable
percona-xtradb-cluster-operator                          stable
proactive-node-scaling-operator                          alpha
project-quay                                             stable-3.17
prometheus                                               beta
prometheus-exporter-operator                             alpha
prometurbo                                               stable
pubsubplus-eventbroker-operator                          stable
pulp-operator                                            beta
rabbitmq-cluster-operator                                stable
rabbitmq-messaging-topology-operator                     stable
redis-operator                                           stable
redkey-operator                                          stable
reportportal-operator                                    alpha
resource-locker-operator                                 alpha
rhoas-operator                                           beta
ripsaw                                                   alpha
rsct-operator                                            alpha
sailoperator                                             stable
sap-commerce-operator                                    alpha
sap-data-intelligence-observer-operator                  stable
sap-hana-express-operator                                stable
seldon-operator                                          stable
self-node-remediation                                    stable
service-binding-operator                                 stable
sigstore-helm-operator                                   alpha
silicom-sts-operator                                     alpha
skupper-operator                                         stable
slurm-operator                                           release-1.0
sn-operator                                              alpha
snapscheduler                                            stable
socmmd                                                   stable
sonar-operator                                           alpha
sonataflow-operator                                      stable
sosivio                                                  stable
sosreport-operator                                       alpha
spark-helm-operator                                      alpha
special-resource-operator                                alpha
stackgres-community                                      stable
stolostron                                               community-0.8
stolostron-engine                                        community-0.8
strimzi-kafka-operator                                   stable
susql-operator                                           alpha
